context	het_cv_r2s	het_cv_r2s.herit	hom_cv_r2s	full_cv_r2s
Adrenal_Gland	0.0611277848045565	0.0777631719867251	0.0675875882655418	0.201645759697533
Artery_Aorta	-0.00286393299063614	-0.0044073069987316	0.00497721324021649	0.134217628902074
Artery_Tibial	0.0252780877993796	0.025723031009135	-0.00315343466733231	0.280070271281808
AverageContext		0.0158682694860249		
Brain_Hypothalamus	0.0191060631374845	0.0420243995382902	-0.0106766928349284	0.377641764746144
Brain_Nucleus_accumbens_basal_ganglia	-0.00908555835876323	-0.00907645790510192	-0.00610413246665909	0.305316916343479
Brain_Substantia_nigra	-0.0117092068864466	0.00112124728013441	0.0359405747548005	0.239129275759987
Colon_Sigmoid	0.140499233907423	0.285042757098807	-0.0029587333387151	0.331850724595205
Esophagus_Mucosa	0.0212763974568885	0.0150590913600432	0.00583833168240733	0.338727234094959
Minor_Salivary_Gland	0.044604531212284	0.0153712300179751	0.0193519028755359	0.294161587940147
Pancreas	0.00916432122330668	-0.00180184543111261	-0.00451579821992043	0.181582553628077
Pituitary	-0.00517077262901577	-0.00291242200604214	0.0343152975420633	0.282615670847938
Prostate	0.0378342231698717	0.0168274556691886	0.0165952605244467	0.212877150383171
Skin_Not_Sun_Exposed_Suprapubic	0.0143785960503188	0.0140675202786067	0.00658438349375756	0.331419315603552
Skin_Sun_Exposed_Lower_leg	0.00448161730469032	-0.000683321797093628	-0.00102914639028717	0.320105869968227
Testis	0.000164212353270798	-0.00504490293084769	-0.00547258520902161	0.213156816167111
Thyroid	0.0649006296503074	0.0897896061545886	0.0131757099635571	0.285925610309021
Vagina	0.0611036757679691	0.0610068973705693	-0.0103015129471193	0.20790943904638
