id	Adrenal_Gland	Artery_Aorta	Artery_Tibial	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Substantia_nigra	Colon_Sigmoid	Esophagus_Mucosa	Minor_Salivary_Gland	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Testis	Thyroid	Vagina
GTEX-111FC				0.00409811104962785									0.077051526213418	0.120755167237467		0.16592072606587	-0.26368208667185
GTEX-111VG				0.0752304793808337										-0.010780839297496	-0.15805672488968	0.127256411140813	-0.0912123647954536
GTEX-111YS	0.0524482731218807		-0.171252096865252	-0.104923885622973				0.190742940713009	-0.0712971553658085		0.0409827308096086		0.0574392231801641	0.0221607719771119		-0.0076697153300885	0.242324167073485
GTEX-1122O	0.239549764939944	0.103153959441375		-0.0157145459714867				-0.660665908481246	0.341855035591497		-0.106063602135906				-0.0299178136775551		-0.0453803211108998
GTEX-1128S		-0.136042724482946	-0.349936054130766	-0.0970322610889104							0.149027275713384				0.133061811773565		-0.315027909510973
GTEX-113JC				0.181939548855882								0.384751808372279			-0.158948368635512		0.109578752653246
GTEX-117XS		-0.0723080461228799		-0.132581977798391				0.339538794215477				-0.103254161453841			-0.0215668023587877	-0.0272541388182863	0.150770433543168
GTEX-117YW		-0.179144842640135	-0.132563156387378	-0.185495598385684					0.0307222416162202			-0.116252199417731	0.00596391459412269		-0.184797422414769	0.119756932676314	-0.0196096973643471
GTEX-1192W				-0.192908999321016								-0.103612323808739			-0.09221331369582		-0.214024173021044
GTEX-1192X				-0.115384441677284						0.0708127255506752		-0.277672020833149		-0.0132015934919617	-0.564407289243553		-0.27153586320853
GTEX-11DXX	-0.21682974342343	0.0840948284464148	0.0476107577046896	-0.118761147751957				0.162370772859068	0.0132591310665127		0.0718533380650815			-0.148910586558302	-0.109493771023983		0.0439588945236734
GTEX-11DXY	0.0544312001074335			-0.179858521962988				-0.104148846683329	0.0509237128138808			-0.251105741946272		0.0082032985337257	-0.0610026902216209	-0.00455674070538417	-0.365636541722649
GTEX-11DZ1				0.0785900472825889					0.319162692266304					-0.0565905689521697	0.152652706540415		0.0939892775476933
GTEX-11EI6			-0.15021293392171	0.0472898563542451				0.183974569907896	0.0683146475576349			-0.118215731060068		-0.0161384472999251	-0.288078533208263	0.0476666679472641	-0.0410990747771126
GTEX-11EM3	-0.269196493894271	0.133450584307526	-0.0659629118621063	-0.195220124984223				0.163823959109574	-0.124128886549752					-0.133409545422742	-0.120856854105383		0.0197623082297246
GTEX-11EMC	0.144017244208706	-0.062005622943373	-0.0213227812174561	-0.0216911543860935				0.0741303283277566	-0.126973902829482	0.641152866332527		0.206684290264163			-0.0752347506269509		0.0279247972029023
GTEX-11EQ8			-0.0612367339232318	-0.0238565676472075										-0.242814973370149		0.0410783963826468	-0.0902166777649181
GTEX-11EQ9	0.025941731174335		-0.0438568734805847	-0.148530468884901				0.197960695818511	0.211825503443665	0.051546134220331	0.263647112043703		0.149367253280504	-0.0606987089052487	-0.220198124942662	0.137703280663081	-0.103051607029571
GTEX-11GS4		0.102385069599726	-0.404751028439848	-0.154364854482962				0.206397979965868				-0.163180633523002		0.0716868080090277	-0.206615782668711	-0.135792268295545	0.395187383505006
GTEX-11GSO				-0.159255689763046								0.0459030123453068			0.101915539644574		0.241464209525469
GTEX-11GSP	-0.124622947683479	-0.147828394670773	-0.160456328829591	-0.202188405580414					0.0458683668286332		0.250115117235012	0.013102744075297		-0.0234052463663991	-0.156445159995349		
GTEX-11I78	-0.0505057146314036	0.0607940376488433	-0.0823780366250971	0.19168953165612				0.239494536471793	0.374866758057346		0.240404141877066						0.0621626748103617
GTEX-11LCK		0.096071010420361	-0.00368886885872563	-0.0273607124073327					0.0185536139912476		0.0886667696503924			-0.000875190037416762	-0.25252477381334	0.0925321888165845	-0.0540002608037228
GTEX-11NUK		0.0289062161732264	-0.0162246054825987	0.0710934754681032					-0.096268132701673			0.0117076955240825		0.0792257739221081	-0.127036574652339	0.104211011885303	-0.00441032598965523
GTEX-11P81		0.0196818421469786	-0.0862830448046987	-0.167894649923636				0.116215655476432	0.199887667275489	-0.0780771772513402				0.0265145348346727	-0.0277246288882176		-0.0837717779455011
GTEX-11P82		0.0119730635904184		-0.152531674433899					0.207808156059293	-0.196232688901087			0.00470657561761368	-0.0602411693852154	-0.327658045597895	0.0976258138986863	-0.392632341078002
GTEX-11TTK				0.0343505862512676											0.0335767999750722		0.410893734842159
GTEX-11TUW		0.0135676154626288	0.158018843520889	0.158299070598582				-0.665251983860485	0.322932755436177	-0.158644425768892		0.128530261212233	0.0667242090286359	-0.0397124149663644	-0.0300948362763652	0.029014490195137	-0.125786991928044
GTEX-11UD2		0.172671788569537	-0.174203370137378	0.0353465629531991										-0.147631463588827	0.0664189146029447		0.176098199573454
GTEX-11VI4			-0.203554632458201	-0.246926542575148				-0.463254607138495	0.102412802351092		0.0249015951952112			-0.106080948409735	0.154716833449443		0.166188300553822
GTEX-11WQK		-0.378947934124382		0.177030020370894	-0.0716624078468546			0.177084387990598		-0.0853194604743779		0.692212940903604	-0.00487805659861942	0.0283427492477832	0.00516646195848511		
GTEX-11XUK	-0.400058980521234		-0.267972029862655	-0.0107086001097809					0.17506194239703		0.166349452002585				0.0692047997068828		-0.326603170854666
GTEX-11ZTS		0.0167259238304813	-0.0784733225019762	0.0785818268015892	0.00785457241268814		-0.163978381406312	-0.586340926167804	0.121127832439027	-0.115817343051025		0.340748393788961			-0.0422919516499567		-0.0224789128058905
GTEX-11ZTT				-0.0408987376891579				-0.531505838937345		-0.0915076860308948				-0.110829647505115	-0.164946863072052		-0.267611804658417
GTEX-11ZUS			-0.0758391658726132	-0.479937758442304	-0.0324807159398799							-0.0498695852698385	0.0836335765543697	-0.0581552485854195		0.00926587763763401	
GTEX-11ZVC		0.262687017342025	-0.0765657440393502	0.088684110896498								-0.0624053948658296			-0.139908743128813		0.165752120934769
GTEX-1211K	0.241679727360305	-0.0550254632008285	-0.142078650324069	-0.110011511186675				-0.0268894518036984	0.234606148709513		-0.0698505829226287			0.079957426077229	-0.155497149540508		-0.0372397327234188
GTEX-1212Z		-0.0245153222569139	-0.25252118387887	-0.098871645720672				-0.584022906217174	0.222849338959229			0.0552324395284943		-0.0370913626549511	0.0586660791927829	-0.0898609583970352	0.0716257108369525
GTEX-12584			0.153021453580827	-0.103436538162441		-0.102538426208638						0.3408798919406		-0.179248586537565	-0.45858530139709		-0.298313512441175
GTEX-12BJ1	0.412328604431359		-0.166340800658065	-0.137341375998763				0.254768996481783	-0.19129265502016	-0.196883182773283	0.00773062810971828		0.0146467421433511	-0.0122581371790342		-0.106622812131957	0.35489725450102
GTEX-12C56		-0.0264816376178626	0.145033338180249	-0.143424403492196					0.167321979243515				0.021014777290572	0.0242206770285813	-0.291588159875251	0.0121530914359292	
GTEX-12KS4		-0.128415017643767		-0.589829251978655				0.118387004770126	-0.150995343764111					-0.0259288941326116	0.237701981124161		
GTEX-12WSA				-0.233492037952524	0.0497174759935381		0.193286866666261		0.0781909146525659					0.0820071124871504	-0.113842232842005		
GTEX-12WSE				-0.206316784889062		-0.0493126969706478						0.107653198905391			0.0760221039518683		-0.188998556198299
GTEX-12WSF				0.0875339379458289		0.182294706500016	-0.289398128641388					0.0718554747506865		-0.217451953472481			
GTEX-12WSG	-0.0992231598573531			-0.100133201380912				0.343020207994291	0.0250045570974389		0.155327266294422				-0.139861985452321		0.0603426487931416
GTEX-12WSH			-0.0824723262813798	-0.205629260612242		0.0374512511190819	-0.0158069870391034					-0.04348677210814		0.0526420708525663		0.0209057867891857	-0.0681613592072013
GTEX-12WSJ	-0.135420975583111			-0.164870583483785				0.242701112591419						-0.030148980464357	-0.290078083845346		0.00118864238138035
GTEX-12WSK	0.365211507467159	0.0955489223021294	-0.0645089985834258	-0.303708604932915					0.0186362280811382		0.208740963597959			-0.0596932179138787	0.0348737364060337		0.43828829641421
GTEX-12WSL	-0.155744507031485		-0.245009149368709	-0.0371630378426431				0.0388700907544473	0.0175898964340559	0.13548172824499	0.149597252840292			-0.0275378788973217	-0.094369010353401	-0.0440087653050171	0.065262564652663
GTEX-12WSM			0.291235724087032	-0.311700234549487	0.239296162119263	-0.0216671130824138		0.245059733334279		-0.202697093720501		0.0128421793172924		-0.0494781037888682		0.137482268686364	
GTEX-12WSN	0.416751519650841	0.0026974121224278	-0.152719818302059	0.00224145552552879						-0.0300893813264651	-0.168528866525689			-0.00531153812698371	0.0837252227498028		0.00416966537604147
GTEX-12ZZW			0.123347094144487	-0.139081023965501		0.00457994347484511		0.0893994284847291	0.0286672338097508			-0.033008467324403					
GTEX-12ZZY		0.237060157272442	-0.058869012625551	-0.224033476854012		0.0736785894955379		0.30124642011652	0.0701267207854306			-0.289399446705515		-0.0429040126019996	-0.121662520753317	0.0284727457389308	-0.113279226745268
GTEX-12ZZZ	0.0582149450726752			-0.0738257561360109		-0.00354147360158746							0.178238923054458	-0.0450580969360492	-0.210814940402436		0.262444939766475
GTEX-13111	0.129462457647307	-0.190215075825067	0.126947281656899	0.154311372152433				0.230289049026983	0.24329672853593	-0.0805939401507986			0.0442924030620996		-0.172902695545174	0.0103892721424082	0.00228473947903735
GTEX-13112				-0.462957667512806	0.047353259138511	0.348323412986185						0.18418478568961		-0.253895843767112	-0.466926306142543	-0.0980487973326777	0.152971459153116
GTEX-1313W		0.109797373074348		-0.115821358066999	0.0227027928807078	-0.0130248070095268	0.25625446543028					-0.308406902448843		-0.0398754859164085	-0.355066349158196		-0.282686529649479
GTEX-1314G			0.168244859736427	0.00357924148422135						0.00395489187184356				-0.0866723722091536	-0.418364856910525		
GTEX-131XG	-0.31419031743009		-0.128469177101102	0.0174494216941438				0.243641698431709	-0.149733894782723		0.239606980462917			0.0823225817751736	0.112955744103012		-0.325400024526868
GTEX-131XW		-0.0689340643520466	-0.193717875809541	0.304290323040677	0.0219814402638057	0.130778168174071						0.204856892698695		0.0699984223595421	0.25780447890011		
GTEX-131YS	0.0867498072039489	-0.155468614540531	-0.017362133312846	0.143716452470898				0.259597813856192	-0.132852106026435			0.0869359247819718		0.0279597423210876	-0.0377086468875052		0.363558198216379
GTEX-132NY	-0.0738287003480424		-0.13657216157181	-0.0645802242412535				-0.283703892982362					0.0474356413424754		-0.187782753901428		-0.237188916902055
GTEX-132Q8			-0.0298363815199782	0.063953943372936	0.0122061867576371	-0.0801388421415123	-0.356144845091932		-0.0595277240864959								
GTEX-133LE		-0.0990118188026193	-0.0433408521992625	-0.00233256180536686					0.0747423022330527					-0.0434644235243604	-0.232466318940265		-0.00117386032487685
GTEX-139D8		0.134684135380883		-0.133941664045708				-0.864754826252072						-0.00120724529101991	-0.000124559875302799		
GTEX-139TT			0.123049952074036	0.00648787803555451		0.0852634624538552						0.382116231882295		-0.0194466151133018	-0.471993012490055	0.0182306303862618	
GTEX-139UW		-0.00647359052676282	0.0179366383427414	-0.173067309596982				0.179331804366019	0.180850684331971					-0.12209036659329	-0.0367098441115551		-0.057759245960201
GTEX-139YR	-0.0480911639954093	-0.136896248993952	0.0517118855342987	0.100671045485053					0.0745817797160914		-0.0548201262469578			0.0673069580094797			0.269443866331808
GTEX-13CF2				-0.312452433787917	-0.069137221985088		-0.0220784933474421	0.230235081320601		-0.0574534291655573		-0.125883811742241			0.116612623517821		
GTEX-13CF3	0.3761050233088	0.292498741805336	-0.0728429831807575	-0.0772676272423198				0.261845983188931	0.188721481568841		-0.0146740956985234				0.126247719663168		0.314739216568815
GTEX-13D11	0.114875017128921	0.128999799662874	-0.0344908008487472	-0.150709366779304				0.0415761681617047	0.149708336027253		0.126250089798171			0.0657510293022616	0.0967564720281347		0.231055612694682
GTEX-13FH7	-0.177118069287099	-0.00182276642681606	0.161251418198885	-0.18727950393903				0.149482565952103	-0.0416336339782506		-0.0639891652235886			-0.0845689707423792	-0.105057774536034		-0.29393151833519
GTEX-13FHO		0.114467608240398		-0.0670060724233014		-0.0880025214533042		0.381866885225608	0.197076507341788			-0.0586428897518186	0.079981419423398	0.0129614905578153	0.103905693315262		-0.0755608702617613
GTEX-13FLV		-0.194438776049655		-0.138662162862987	0.073478056337665	0.184698911737062			0.161892363168542		0.032537603648712			-0.167066554386094			-0.233018222862583
GTEX-13FTW	-0.122598199133171		-0.0262931987791858	-0.153812602475694				0.216656131136698	-0.0752316845989804		0.0679860329050888		0.10844806172531	-0.0353667129277443	-0.225060031960888	-0.0539418587376227	0.0280429111988974
GTEX-13FTY			-0.0263342421261509	-0.00998260472764669								-0.147437932437765		-0.00012795697857533	-0.202622303126312		-0.0547954094281995
