id	Adrenal_Gland	Artery_Aorta	Artery_Tibial	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Substantia_nigra	Colon_Sigmoid	Esophagus_Mucosa	Minor_Salivary_Gland	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Testis	Thyroid	Vagina
GTEX-111CU	-0.224537807779463						0.243016207641478	-0.0688946406204435		0.172213509196489		0.00391848616390615	-0.15913333044157		0.142878611885165	-0.105103563226441	
GTEX-111FC			-0.0681627829077842						-0.0140769838138741			-0.0274088380491344	-0.0454471440576902	-0.142962822461388	0.331035266544303	-0.317263056651178	
GTEX-111VG													-0.112243252931797	-0.0604407334772186	0.197736196525084	-0.0733335544901911	
GTEX-111YS	0.0455327017971718	0.0297736986498684	0.102797198939159				0.0809785938025589	-0.037432684921981		0.128434576031747		0.00361642817909777	0.125349570634417		-0.0694856368708338	0.206238019864646	
GTEX-1122O	0.257646199329299	0.0112070997679277					-0.205999869603828	0.029860451047212		-0.010884908390973				-0.0637923178807366		0.0790106857434642	
GTEX-1128S		0.0327187102118706	0.0477385564482714							0.0118478934624425	-0.143396589329458			-0.271548315835931		-0.29821813731533	
GTEX-113JC											0.151327054812623			0.0811744417260302		0.183255286576204	0.044570765241901
GTEX-117XS		0.0690227300387898					0.067737992345525				0.0537966673518912			0.00239095127901143	-0.12903466982332	-0.0923605727254038	
GTEX-117YW		-0.0869390501957233	0.0188630482089001					-0.116349577418431			-0.219944757834617	-0.0402769310175772		-0.0937154251216647	-0.0630572027878981	-0.116778607653531	
GTEX-1192W											-0.110452545411051			-0.307873934434683		-0.26825743921496	
GTEX-1192X									-0.0183308338819903		-0.0706393666673424		-0.310790435142839	-0.363354841391637		-0.22585247076161	
GTEX-11DXX	-0.136822714312491	0.0827981781751529	-0.0359541784336993				0.273856251254033	-0.114224473327113		-0.00468241120583419			-0.0328935830997267	-0.0648963345952907		0.062501238413676	0.0513331509023394
GTEX-11DXY	0.00443723499119733						-0.133498065974528	-0.191991286612318			-0.00308951387236087		-0.0409876011342262	-0.0549003463173802	0.0134314123440391	-0.207275047812789	
GTEX-11DZ1								0.138822510078739					0.0687457775634095	0.123353470298762		0.000896549781915793	
GTEX-11EI6			-0.0470002255841477				0.106358465574683	0.122313840720435			-0.139956945941328		-0.0891319244942529	-0.0988560069130818	-0.0711253230924689	-0.0865058420178891	
GTEX-11EM3	-0.188458711336008	-0.0205225919466446	-0.0879707349205189				0.366855160443387	0.119486035263703					-0.0237856370387888	0.078842179038763		-0.0400748507144953	0.0834353197690756
GTEX-11EMC	-0.0491547557123457	0.00442087420175303	-0.00840884336100135				-0.275414398294334	-0.15910163070409	-0.0610310067332763		-0.0557782020828097			0.0656687805878997		-0.151366546242216	0.00162497659135465
GTEX-11EQ8			0.00820494115363576										-0.00399941687616501		0.330575307885402	0.224100429938862	
GTEX-11EQ9	-0.0395310905780457		0.0290955200282439				0.0351097927615475	0.00351574014097213	0.0646317155143381	0.177015354440315		0.0104820498208394	-0.0488738097992553	-0.179673726146425	0.109857641208596	-0.0499634579688206	
GTEX-11GS4		0.105829361880446	0.0914127500935679				0.0134586253683409				-0.115146128766676		-0.0724147887188573	0.0727137053122297	-0.348758667930467	0.212980940533689	
GTEX-11GSO						-0.11638865072119					-0.044927395616622			-0.107319756958838		0.0210989107399601	
GTEX-11GSP	-0.0734202253191454	-0.0503293449140365	-0.0129542730349219	-0.221094519126442	-0.00538128771911284			-0.0242181098346484		0.0325802839206326	-0.0872306242930883		-0.0629175245162408	-0.148919780870452			-0.035633365236589
GTEX-11I78	-0.204974446436375	0.034650308497135	0.0188432471659054				0.0582403674291173	0.179568099262907		-0.0119729806617897						-0.0538422468798033	-0.0348903501895361
GTEX-11LCK		0.112246033950525	0.0425335776494566					0.0168874060851877		0.0442155893489152			-0.0464355996416493	-0.189530144126907	0.0929454053353799	-0.0661605646524206	
GTEX-11NUK		0.0326611002927491	0.0487785297399103					0.0384477504402192			-0.0816692935952387		0.0270064234522052	-0.0113680062219692	-0.0173432644674789	0.00526275533483436	
GTEX-11P81		0.00585937755464167	-0.00694181381859541				0.180431712141697	-0.133329169807441	-0.074763329661477				-0.0257142328375882	-0.132723680612618		-0.0501273448169832	-0.0184527699565911
GTEX-11P82		0.00419845945084793						-0.0722735746230721	0.0407774159784963			0.0435566328952792	-0.0907307935691013	-0.190725808699561	0.0842416943005676	-0.209030767043876	
GTEX-11TTK														0.0457376372570186		0.31389551769454	-0.0516647811942932
GTEX-11TUW		0.00502058435232931	0.075758775901116				-0.248828859241854	0.221371230463788	-0.0615789819507324		0.16338518081726	0.00145851739115741	-0.163033065207919	-0.142478224458368	0.052113490503189	-0.106960681120699	
GTEX-11UD2		0.0286133013873197	0.123818157404932										-0.0895180878931038	0.0785700003373816		0.237193276532904	
GTEX-11VI4			0.00447592240573467				-0.156274843642721	-0.149778103846027		0.0388857567319648			0.0830261975274453	0.0464812813221152		0.258387029666992	-9.10571975808972e-05
GTEX-11WQK		-0.114517710770065		-0.128706247384739			-0.139331570082681		-0.0284811281529896		-0.0206813875599296	-0.0489429352128126	0.0957659082258373	0.120757669799022			
GTEX-11XUK	-0.306005633714827		-0.113533623300024					0.0616854595030708		-0.0455567310622361				-0.404028428785777		-0.228518962831607	0.0704256093038266
GTEX-11ZTS		-0.040529317538825	0.152876514999432	-0.0114409395841483		-0.0607792070617958	-0.341629505276115	0.0105780876099279	-0.0425128554491047		0.152403344757691			0.0524060300532075		0.183844300814063	
GTEX-11ZTT							-0.160161878018467		0.0190179445803768				-0.231366758554981	-0.212810887410626		-0.126239037031434	
GTEX-11ZUS			-0.0753873320276888	0.0478440219561954							-0.121743909112226	0.0140423883385915	0.00212138416161939		-0.0922929836251103		
GTEX-11ZVC		0.10254788074611	0.179657644634992								-0.0630183636381978			0.0323729401817126		0.0980059326128756	
GTEX-1211K	-0.0858630516350617	0.0162185342282771	0.0485780926200544				-0.179450072186603	-0.0356936272186647		-0.257083674879554			-0.03029844520229	0.0942790214187904		-0.0278922716289076	
GTEX-1212Z		0.030365278921207	0.0391820913229286				-0.207728132715054	0.0366885977783934			0.161939758152133		0.0554390521332845	-0.0357666632117574	-0.00481623457705144	0.0897807807487454	
GTEX-12584			-0.028123851469938		-0.113171342992617						0.141589006428164		-0.295401240626146	-0.318489119249527		-0.314986114494824	
GTEX-12BJ1	0.102067307850551		0.160416506031853				0.186701850358784	-0.0318145501333733	-0.0369243651378215	-0.120184102852715		0.0168928558651128	0.0138292343856475		-0.231664747858094	0.178587265795563	
GTEX-12C56		0.0121325912724672	-0.0224948452561381					-0.118854520105118				0.0159045486790711	-0.113206879734848	-0.0987649153282439	0.0493216996308053		
GTEX-12KS4		0.0139100095155945					0.0951565047978023	-0.361202533749871					-0.0837337194549903	-0.118763152359195			
GTEX-12WSA				0.00439755261750208		-0.00809595865217924		-0.143325607699479					-0.0692443038967985	0.122397581322271			
GTEX-12WSE					-0.029024113155483						0.127901974437935			0.078537026357083		-0.0173978708478904	
GTEX-12WSF					0.114826527736436	0.0882918481699863					0.109480512569472		0.0582120109289099				
GTEX-12WSG	-0.0791433687147926						0.0926005528363989	-0.029147364033877		0.0873580008097273				-0.149604732313655		0.0424397025620871	
GTEX-12WSH			0.00830681204182611		-0.0763978955388162	0.0529234457554462					-0.0789617590033265		0.0646755594042186		0.213749281179312	-0.0324998578457685	
GTEX-12WSI															0.072160464060039		
GTEX-12WSJ	0.0325308480938557						0.283917142935795						-0.0816851571737438	-0.232716765345902		-0.0208173710585544	0.0312933523679883
