context	het_cv_pvals	het_cv_pvals.herit	hom_cv_pvals	full_cv_pvals
Adrenal_Gland	6.98431823732392e-10	0.0083805717613874	5.33527302284648e-08	2.11012898905027e-09
Artery_Aorta	2.70132963329809e-06	0.149713821500767	9.29791431774486e-07	1.52426098840487e-06
Artery_Tibial	1.70947609710942e-11	0.0215933196383077	1.99442814387971e-13	2.86145420330714e-13
AverageContext		0.0834500989374065		
Brain_Hypothalamus	1.05865883514699e-05	0.193464709904878	2.7608370484859e-05	5.88804001624883e-05
Brain_Nucleus_accumbens_basal_ganglia	0.0117786682374969	0.109790654249771	0.032681030603236	0.0403402551685141
Brain_Substantia_nigra	7.48043998541314e-06	0.0328484085911209	3.74868000901633e-05	4.09630120364948e-05
Colon_Sigmoid	7.21820055745019e-11	0.0128786932535667	6.89208905537048e-09	4.27086232859223e-10
Esophagus_Mucosa	8.74905332486617e-19	0.0123973370392164	4.2458688093614e-19	2.73181141222206e-19
Minor_Salivary_Gland	0.150539874969769	0.268806353049764	0.0593296141332682	0.144996491243948
Pancreas	2.83565431850744e-09	8.47773713411255e-05	4.06902184291489e-09	6.35363523326206e-11
Pituitary	1.8422867267997e-15	0.0230094803524545	6.73563520254202e-14	1.8134759078867e-14
Prostate	6.58587453955353e-06	0.4622807146722	2.36273745571368e-05	3.40825430503084e-05
Skin_Not_Sun_Exposed_Suprapubic	1.23177988753794e-17	0.120099748133717	2.44863984510078e-18	9.63957802815871e-18
Skin_Sun_Exposed_Lower_leg	0.0384458797786664	0.044930916551644	0.00198609564276132	0.00173192632395695
Testis	1.40480357599756e-08	0.596780368947242	1.35299930740669e-09	4.43404207957484e-09
Thyroid	2.72517024418954e-19	8.41817346460936e-07	1.09211531947067e-13	2.89423497429083e-18
Vagina	0.00229031954083469	0.160280930386557	0.00784917008018866	0.00835256693621657
