id	Adrenal_Gland	Artery_Aorta	Artery_Tibial	AverageContext	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Substantia_nigra	Colon_Sigmoid	Esophagus_Mucosa	Minor_Salivary_Gland	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Testis	Thyroid	Vagina
GTEX-111FC													0.491488163267588	0.387540920736362		0.457254166160001	0.0244223415143871	
GTEX-111VG														0.0979753868877429	0.0354897084200988	0.119662315744846	-0.0462549417606001	
GTEX-111YS	-0.636591105375757		-0.566625540727637					-0.707922119405556	-0.635293132766069		-0.829233261712604		-0.634947181184999	-0.709912286186691		-0.675694397580797	-0.0451152457554403	
GTEX-1122O	0.68680814203353	0.296545998222639						0.600032104203333	0.418455011282617		0.46993230867695				0.159509553837639		0.264933657587637	
GTEX-1128S		0.145831380266471	0.168271431266877								0.187383338780066				0.0817733740209712		-0.169635381799465	
GTEX-113JC												-0.294148086366111			-0.145675614824549		0.00958007765978192	
GTEX-117XS		-0.460922481030475						-0.555149641006652				-0.775720797616526			-0.238269665247179	-0.597117296014001	-0.577114433797409	
GTEX-117YW		-0.520901939885691	-0.629310432799469						-0.772978615180363			-1.03767016544775	-0.679284468541406		-0.272532589397237	-0.645870661170819	-0.748567455519115	
GTEX-1192W												-0.254261098049893			-0.0477574653132324		-0.3315747822281	
GTEX-1192X										-0.0192165237876565		0.0254318061952255		0.174000277563205	0.0148447748313545		-0.254201083645121	
GTEX-11DXX	0.367125153068179	0.250197920612594	0.308804434730179					0.218143873189373	0.308170314870775		0.440470711949894			0.562956414704562	0.13513222859542		0.348041142906274	0.299386079936411
GTEX-11DXY	-0.164511548231973							-0.0740992373652688	-0.376184808294848			-0.431759184516553		-0.333192015076833	-0.0961972925682135	-0.227454682673044	-0.554857228960446	
GTEX-11DZ1									-0.425204876645622					-0.513714161243705	-0.166076155839442		-0.367994727125206	
GTEX-11EI6			-0.23495878494228					-0.230583369663159	-0.173123028149632			-0.458895292200426		-0.321648130091547	-0.100461651737063	-0.245531770894742	-0.0967081415370814	
GTEX-11EM3	0.465483588710976	0.514041050558974	0.628327123990081					0.320504689313514	0.705038492765239					0.868551823179333	0.271505053827971		0.733873268302894	0.48247629156431
