id	Adrenal_Gland	Artery_Aorta	Artery_Tibial	AverageContext	Brain_Hypothalamus	Brain_Nucleus_accumbens_basal_ganglia	Brain_Substantia_nigra	Colon_Sigmoid	Esophagus_Mucosa	Minor_Salivary_Gland	Pancreas	Pituitary	Prostate	Skin_Not_Sun_Exposed_Suprapubic	Skin_Sun_Exposed_Lower_leg	Testis	Thyroid	Vagina
GTEX-111FC				-0.0367139459041692									-0.026670381983017	0.183216020990601		0.116897870728677	-0.341805614650038	
GTEX-111VG				0.109444989273591										-0.122835670391856	-0.0260039177973245	0.111857358154241	-0.131979614335742	
GTEX-111YS	0.0291751226320172		0.289361663094833	0.0146699939598172				-0.154725196674122	0.105408574813992		-0.0896465093911808		0.030834870033169	-0.387325043167415		-0.0749361686052155	0.499185537157084	
GTEX-1122O	0.316876739463562	-0.297740707817288		0.0655250728662209				0.307865839230616	-0.13528015285357		0.0613971653760901				0.288647856876726		-0.0950180329309804	
GTEX-1128S		-0.00616726960729037	-0.0879451360849941	-0.0328111465545966							0.00969724797113625				-0.149660330752482		-0.350463832755694	
GTEX-113JC				0.0507161176713072								0.318431822260306			-0.134364722816118		0.311305552023932	
GTEX-117XS		-0.15512361635218		-0.0190657724490867				-0.00971788954860245				0.0190445784939138			0.118678464947939	0.0348295650134187	-0.0718314176661386	
GTEX-117YW		0.0744186698827572	-0.0589346670420174	0.043711840673072					-0.103583327597296			-0.252239635694435	0.074989057394926		0.366704575956791	0.216350012825839	-0.17086677711193	
GTEX-1192W				0.00275076511565411								-0.273436625480009			0.674249873298193		-0.244829642486488	
GTEX-1192X				0.0010107485204992						-0.00873704484975793		-0.146769660095934		-0.487636899790601	0.300348406066957		-0.297101871544542	
GTEX-11DXX	0.0121575942397481	-0.350451470490526	0.0151902160436548	0.0327117064927802				-0.161253512638484	-0.217539968664395		0.0829906989241088			-0.542179608939483	0.328477331465504		0.0382453195918097	-0.0531821479019854
GTEX-11DXY	0.0892245490242685			-0.0120787892537511				0.203953051804366	-0.280610004599349			-0.263679883777777		-0.0391230274112829	0.110527613680781	0.0569649085072504	-0.353166943524091	
GTEX-11DZ1				-0.0317688105841417					0.0170658323992018					-0.156238336634615	-0.335950280555176		-0.0138144741667156	
GTEX-11EI6			-0.00174355721199774	0.0460652119392865				-0.00590962129522822	0.134913542639627			-0.283518188030375		-0.11013943571281	0.0500743409027614	0.0255964538202596	0.107586779183543	
GTEX-11EM3	-0.286969873131662	-0.00758118320163445	0.0748913645370465	-0.0062339477429626				-0.476864855027711	-0.192200971361987					-0.227706439259276	0.434621752723202		0.125211639528294	0.0576257501616949
GTEX-11EMC	0.0759674374014761	0.00413090254117755	0.0531681184504282	-0.00424123011116586				0.58133534972199	-0.0766934881740699	0.498429307628274		0.0854292821375553			0.0956459116238529		-0.290688545470287	-0.415769149158369
GTEX-11EQ8			-0.151777520167312	0.00855766422043097										-0.00270031116967182		0.0621886586768359	0.101949138441164	
GTEX-11EQ9	-0.00856928159364448		0.030495091433097	0.101294821697018				-0.0430736763705007	0.0543367233520997	-0.055019332303433	0.259027558951028		-0.0286393555561151	-0.259079356912849	0.452415115142191	0.267928605444036	-0.099694289505919	
GTEX-11GS4		-0.341666698837276	-0.176405098167526	0.0021334782613174				0.000766528904081631				-0.299644293731313		0.00199872968587225	0.0228782504468532	-0.284236695772915	0.278068280672136	
GTEX-11GSO				0.00541892086253936								-0.168323520279787			0.270978669939452		0.156840145004582	
GTEX-11GSP	-0.100126754753235	-0.0019335551132007	-0.0760897743656356	0.0521468738501258					-0.012517294138312		0.168582254173251	-0.267044976557042		-0.159081074072995	0.319129388194486			0.0761900399675873
GTEX-11I78	-0.149176335273602	-0.0850330692566346	-0.0170793514078652	0.0118104058673023				-0.204547004099465	0.415491777586025		0.0793208421080882						0.0493399993776537	0.105626693641407
GTEX-11LCK		-0.276384016304653	0.0990466481600014	0.00277087975180134					-0.0591913673905418		0.0823992748170877			-0.0386733319266219	0.571330737147408	0.127983508438112	-0.0291750166212461	
GTEX-11NUK		-0.0810295908381052	0.0189360962536468	-0.0459144917724953					0.0264133898962665			-0.105804071806974		0.155614141586638	0.099412984426916	-0.118099905897246	0.00252066596343633	
GTEX-11P81		-0.182191947745305	-0.30531013964018	-0.0162175203788252				-0.264908446132857	-0.202942843216938	-0.0511786391305026				-0.112594521208045	0.223176222802871		-0.0711333721309568	0.210627894501524
GTEX-11P82		-0.340687300086927		0.0346098518959146					0.209115828982123	-0.111632357256386			0.0148325118534169	-0.163017383123619	0.339366316239157	0.131216756197474	-0.271870248538134	
GTEX-11TTK				-0.00829073636878596											-0.505026847956993		0.358803621518337	0.418683375201563
GTEX-11TUW		-0.138794230805546	0.220633997531943	0.0626380536333404				0.111087728455127	0.0761762792831844	0.138191377628781		0.269985674868655	0.0104966276150748	-0.209647893069867	0.489377135780827	0.0906930798617928	-0.419428252622084	
GTEX-11UD2		-0.479903236493499	-0.00699519944540781	0.0655181921684727										0.0305921843688016	0.025774373818328		0.207352290113709	
GTEX-11VI4			-0.25962287592042	-0.0582735804893023				0.216666517651625	-0.292897375553796		0.0878096734253674			-0.0672137360392788	-0.22910515054078		0.296396010456958	0.163732485327647
GTEX-11WQK		-0.198670317688192		-0.0129412598111559	-0.159540745429527			0.104705956006812		0.0203361390482205		0.602954993081102	0.131495058906157	0.11244221321452	-0.516465517661352			
GTEX-11XUK	-0.334440841338677		-0.0639036074690535	-0.078973199306841					0.389257776372052		0.291037789728316				0.0475993103606379		-0.290052400304031	-0.169204935248771
GTEX-11ZTS		-0.535697147014805	0.116217737483304	0.0448786366406679	-0.0326650173142516		0.0163403659373624	0.200990604528439	0.116817830503089	-0.318616155695203		0.572908461419683			-0.0741062605061		0.051895409608877	
GTEX-11ZTT				0.0504625910043909				0.393685972838173		-0.0497568524976404				-0.254498281083959	0.0741635440933254		-0.163732260419298	
GTEX-11ZUS			-0.0535535915826163	0.0141001244402092	0.151280858481136							-0.125215710855018	-0.0426693907573071	-0.474860127848579		-0.0468906706270944		
GTEX-11ZVC		-0.608680950895422	0.303772107228617	0.0540021064740776								-0.0840560656366674			-0.167293749265963		0.192434072443772	
GTEX-1211K	0.0765500836665179	-0.141807130442883	0.076251229097701	0.0633923173228659				0.0526374337631702	-0.0474770980772298		-0.0864688777837979			-0.000873256104291648	0.0238847259317929		-0.20214816621201	
GTEX-1212Z		-0.425995663349315	-0.0907219933548313	0.0196053414459911				0.00962200519757782	-0.223957907782056			0.320529320427462		0.00910363264111361	-0.0732356127990678	-0.0868132354577317	0.154310268957265	
GTEX-12584			0.0751566614868467	0.0914319328566897		-0.019980648748567						0.393304331914148		-0.45490282897497	1.00634502503052		-0.422880039326967	
