target	regulator	context	beta	se	pvalue
gene2	gene1	Adrenal_Gland	0.631520482332319	0.0857123304042358	1.73327579345591e-13
gene2	gene1	Artery_Aorta	0.556446163177533	0.0817961295588441	1.02574976649974e-11
gene2	gene1	Artery_Tibial	0.597500292108175	0.049157137566195	5.40251601530414e-34
gene2	gene1	Brain_Hypothalamus	0.577390434159577	0.0764384785341443	4.23187406130002e-14
gene2	gene1	Brain_Nucleus_accumbens_basal_ganglia	0.748633309781232	0.0780078143707051	8.23837963750258e-22
gene2	gene1	Brain_Substantia_nigra	0.405420125575848	0.110622296921732	0.000247431139564517
gene2	gene1	Colon_Sigmoid	0.538021547885926	0.0601131067536646	3.54987565692149e-19
gene2	gene1	Esophagus_Mucosa	0.449953603815857	0.0468099228799684	7.09082029123006e-22
gene2	gene1	Minor_Salivary_Gland	0.373824866068354	0.100125327660397	0.000188785094506546
gene2	gene1	Pancreas	0.616560735983635	0.0838587890871339	1.94724784208823e-13
gene2	gene1	Pituitary	0.387261137103714	0.0739050656011893	1.60593159902021e-07
gene2	gene1	Prostate	0.603007728669093	0.0943056996949496	1.61409967625755e-10
gene2	gene1	Skin_Not_Sun_Exposed_Suprapubic	0.518696541647913	0.0488882541643301	2.68208719550477e-26
gene2	gene1	Skin_Sun_Exposed_Lower_leg	0.35990914175024	0.0441423843203483	3.53924013096821e-16
gene2	gene1	Testis	0.740227395512375	0.0729255567815125	3.29830751466815e-24
gene2	gene1	Thyroid	0.549057957858975	0.0474847678777775	6.35836409480097e-31
gene2	gene1	Vagina	0.38015490348293	0.10558715800734	0.00031774074486177
